ham,"Hello? it's Jonny!",,,
ham,Do you want to by something?,,,
spam,Free tickets for yoy today,,,
ham,U dun say so early hor... U c already then say...,,,
ham,I don't think he can do it,,,
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, �1.50 to rcv",,,
ham,Today we can easily go to the forest.,,,
ham,Do you need something bigger than this?,,,
spam,WINNER!! As network customer you have been selected to receive 900 prize reward! To claim call 09061701461.,,,
spam,Had your mobile 11 months or more? Call The Mobile Update Co FREE on 08002986030,,,
ham,"I'm gonna be home soon.",,,
spam,SIX chances to win CASH! send to 87575. Cost 150p/day,,,
spam,URGENT! You have won a 1 week FREE membership,,,
ham,I've been searching for the right words to thank you.,,,
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,,,
